"Saxonszám";"Fajta";"Gyartmány";"Tipus";"Funkció";"Különleges tulajdonság";"Felszereltség";"Megjegyzés";"Üzemmód";"Teherbírás";"Emelő magasság";"Első kerék";"Hátsó kerék";"Motor";"Akkumulátor";"Villák";"Tárolás";"Tárolás";"Mező";"Mező";"Eladási ár";"Eladó neve";"Bizonylatszám";"Vételi ár";"Category"
"W-0028";"ELLENSÚLY";"TOYOTA";"5FG10";" n/a";;"NO";;"FŐDARAB";1000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0029";"ELLENSÚLY";"MITSUBISHI";"FD10-T";" n/a";;"NO";;"FŐDARAB";1000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0030";"ELLENSÚLY";"TOYOTA";"5FD20";" n/a";;"NO";;"FŐDARAB";2000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;600;;;0;"Karosszéria elemek"
"W-0031";"ELLENSÚLY";"NISSAN";"FG18 (SPAIN)";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0032";"ELLENSÚLY";"TCM";"FD15-?";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0033";"ELLENSÚLY";"NISSAN";"FG25 (SPAIN)";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0034";"ELLENSÚLY";"NISSAN";"FG30 (SPAIN)";" n/a";;"NO";;"FŐDARAB";3000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0035";"ELLENSÚLY";"MITSUBISHI";"FD18K";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0036";"ELLENSÚLY";"MITSUBISHI";"FD15 TAC";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0037";"ELLENSÚLY";"DOOSAN";"DP25";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0038";"ELLENSÚLY";"CESAB";"FG18";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0039";"ELLENSÚLY";"KOMATSU";"FD10T-17 LEO";" n/a";;"NO";;"FŐDARAB";1000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;600;;;0;"Karosszéria elemek"
"W-0040";"ELLENSÚLY";"TCM";"FD15-?";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
